symbol,timestamp,open,high,low,close,volume,trade_count,vwap
NVDA,2023-08-14 04:00:00+00:00,404.94,437.81,403.11,437.62,965556.0,16612.0,423.233585
NVDA,2023-08-15 04:00:00+00:00,445.73,452.5,437.14,439.45,819422.0,16666.0,444.897064
NVDA,2023-08-16 04:00:00+00:00,445.225,446.65,434.17,434.78,520209.0,10997.0,439.616119
NVDA,2023-08-17 04:00:00+00:00,439.695,440.47,430.03,433.62,430064.0,10813.0,434.769181
NVDA,2023-08-18 04:00:00+00:00,426.4,435.635,416.74,432.87,795894.0,15980.0,426.392558
NVDA,2023-08-21 04:00:00+00:00,444.815,470.64,442.43,469.66,805375.0,13712.0,455.644793
NVDA,2023-08-22 04:00:00+00:00,481.22,481.685,453.37,456.66,922800.0,18605.0,462.496153
NVDA,2023-08-23 04:00:00+00:00,458.8,471.99,452.15,471.07,717640.0,18282.0,465.070118
NVDA,2023-08-24 04:00:00+00:00,502.26,502.66,471.62,471.62,2063850.0,32479.0,483.235291
NVDA,2023-08-25 04:00:00+00:00,470.01,477.99,450.27,460.06,1237133.0,20820.0,460.268379
NVDA,2023-08-28 04:00:00+00:00,464.79,469.68,449.0,468.25,772574.0,14350.0,459.862406
NVDA,2023-08-29 04:00:00+00:00,467.0,490.68,464.04,487.84,659124.0,10595.0,482.738367
NVDA,2023-08-30 04:00:00+00:00,490.49,499.21,484.27,492.82,617406.0,11894.0,493.175718
NVDA,2023-08-31 04:00:00+00:00,493.775,497.14,489.6,493.63,586429.0,17267.0,494.495646
NVDA,2023-09-01 04:00:00+00:00,497.75,497.75,481.49,484.9,441372.0,11331.0,487.397122
NVDA,2023-09-05 04:00:00+00:00,482.08,488.43,479.5,485.32,379515.0,8989.0,484.254952
NVDA,2023-09-06 04:00:00+00:00,484.66,485.4,465.91,470.73,470143.0,10112.0,471.361578
NVDA,2023-09-07 04:00:00+00:00,454.74,463.43,451.72,462.41,589031.0,11619.0,457.785764
NVDA,2023-09-08 04:00:00+00:00,459.58,465.73,453.0,455.6,581020.0,10342.0,457.296783
NVDA,2023-09-11 04:00:00+00:00,460.6,460.95,443.19,451.78,535595.0,15117.0,448.904569
NVDA,2023-09-12 04:00:00+00:00,447.36,456.5,445.445,448.81,329954.0,6786.0,451.905268
NVDA,2023-09-13 04:00:00+00:00,445.895,459.25,445.09,454.81,411784.0,16319.0,454.198102
NVDA,2023-09-14 04:00:00+00:00,459.35,459.625,451.44,455.91,374759.0,13272.0,455.700406
NVDA,2023-09-15 04:00:00+00:00,453.64,455.91,438.11,438.83,501182.0,16027.0,443.402592
NVDA,2023-09-18 04:00:00+00:00,427.36,442.27,423.03,439.57,681107.0,10353.0,433.732002
NVDA,2023-09-19 04:00:00+00:00,438.21,439.4,430.21,435.21,369195.0,9775.0,434.429772
NVDA,2023-09-20 04:00:00+00:00,435.98,438.92,422.31,422.39,374328.0,7254.0,431.03868
NVDA,2023-09-21 04:00:00+00:00,415.77,420.86,409.81,410.13,1079307.0,12123.0,415.616034
NVDA,2023-09-22 04:00:00+00:00,416.255,421.0,412.53,416.01,477029.0,14639.0,417.240514
NVDA,2023-09-25 04:00:00+00:00,415.925,425.35,411.92,422.26,628554.0,12536.0,420.456088
NVDA,2023-09-26 04:00:00+00:00,420.28,428.17,416.65,419.04,455337.0,12031.0,421.634629
NVDA,2023-09-27 04:00:00+00:00,423.15,428.61,416.38,424.89,577930.0,8906.0,422.222903
NVDA,2023-09-28 04:00:00+00:00,424.545,434.27,421.235,430.79,517586.0,11642.0,428.998609
NVDA,2023-09-29 04:00:00+00:00,438.48,441.31,433.12,434.99,363243.0,7475.0,437.218028
NVDA,2023-10-02 04:00:00+00:00,440.34,451.7,438.85,447.97,616632.0,11301.0,446.609534
NVDA,2023-10-03 04:00:00+00:00,448.19,451.06,432.7,435.365,505703.0,15529.0,440.746117
NVDA,2023-10-04 04:00:00+00:00,437.42,441.36,432.95,440.06,383083.0,7450.0,437.883706
NVDA,2023-10-05 04:00:00+00:00,440.5,448.99,438.95,446.8,388781.0,8594.0,444.402314
