DATAFLOW,LAST UPDATE,freq,unit,coicop,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",Energy,Belgium,2005-10,84.19,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",Energy,Belgium,2005-11,82.06,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",Energy,Belgium,2005-12,82.09,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",Energy,Belgium,2006-01,84.04,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",Energy,Belgium,2006-02,84.06,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",Energy,Belgium,2006-03,84.98,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",Energy,Belgium,2006-04,87.17,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",Energy,Belgium,2006-05,87.77,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",Energy,Belgium,2006-06,87.75,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",Energy,Belgium,2006-07,88.82,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",Energy,Belgium,2006-08,88.93,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",Energy,Belgium,2006-09,85.80,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",Energy,Belgium,2006-10,84.03,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",Energy,Belgium,2006-11,84.25,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",Energy,Belgium,2006-12,85.05,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",Energy,Belgium,2007-01,83.27,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",Energy,Belgium,2007-02,84.28,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",Energy,Belgium,2007-03,84.05,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",Energy,Belgium,2007-04,85.01,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",Energy,Belgium,2007-05,84.77,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",Energy,Belgium,2007-06,84.70,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",Energy,Belgium,2007-07,85.32,,
